Sigla,Expansão,Categoria,Significado / Uso,Exemplo Tipo (data/arquivo),Notas / Transcrição
"Alves / Alvres / Alz","Álvares","apelidos","apelido","registos paroquiais séc. XVII-XVIII","variantes gráficas de Álvares"
"An.tes","Antunes","apelidos","apelido","registos paroquiais séc. XVII-XVIII","patronímico de António"
"Andr.e","Andrade","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente no Minho"
"Ar.º / Ar.o / de A. / de Ar.º / deAr.o","Araújo / de Araújo","apelidos","apelido","""Jozé de A."" / ""Valentin de Ar.º""","determinante ""de"" pode aparecer colado à sigla; A. sozinho só expande para Araújo em contexto de apelido"
"C.ta","Costa","apelidos","apelido","registos paroquiais séc. XVII-XVIII","forma abreviada de Costa"
"Con.tras","Contreiras","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido com abreviação interna"
"D.es","Domingues","apelidos","apelido","registos paroquiais séc. XVII-XVIII","patronímico de Domingos"
"Diz","Dias","apelidos","apelido","registos paroquiais séc. XVII-XVIII","abreviação de Dias"
"Figr.a","Figueira","apelidos","apelido / topónimo","registos paroquiais séc. XVII-XVIII","não confundir com Fg.do = Figueiredo"
"Fr.ª / Ferr.ª / Fr.ra / Ferr.a / Fer.ª / Frr.ª / Frr.a / Ferz.al /Fr.a","Ferreira","apelidos","apelido","registos paroquiais séc. XVII-XVIII","variantes de Ferreira; apelido muito comum; o rr cursivo pode parecer rz — não confundir com Frz./Friz (Fernandes)"
"Frz / Friz","Fernandes","apelidos","apelido","registos paroquiais séc. XVII-XVIII","patronímico de Fernando; ATENÇÃO: Frz tem apenas Fr+z; Ferr.a/Ferr.ª/Frr.ª com duas letras r = Ferreira, não Fernandes"
"G.ro / G.ra","Guerreiro / Guerreira","apelidos","apelido","registos paroquiais séc. XVII-XVIII","masc./fem. do apelido Guerreiro"
"M.ca / M.ça","Mendonça","apelidos","apelido","registos paroquiais séc. XVII-XVIII","variantes de Mendonça"
"M.da / Marg.da / Mg.da","Margarida","nomes próprios","nome próprio feminino","registos paroquiais séc. XVII-XVIII","variantes de Margarida"
"Mag.es","Magalhães","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente no Noroeste"
"de Mag.es / de Magalhães","de Magalhães","apelidos","apelido","registos paroquiais séc. XVII-XVIII","variante com determinante ""de"" colado à sigla"
"Mdz","Mendes","apelidos","apelido","registos paroquiais séc. XVII-XVIII","patronímico de Mendo"
"Mir.da","Miranda","apelidos","apelido / topónimo","registos paroquiais séc. XVII-XVIII","apelido e topónimo"
"Miz / Miz.","Martins","apelidos","apelido","registos paroquiais séc. XVII-XVIII","não confundir com Miz.ª = Misericórdia"
"N.es","Nunes","apelidos","apelido","registos paroquiais séc. XVII-XVIII","patronímico de Nuno"
"Oliv.ra / Oliv.a / Oliv.ª","Oliveira","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido muito frequente"
"deOliv.ra / de Oliv.ra /de Oliv.a / deOlivr.a","de Oliveira","apelidos","apelido","registos paroquiais séc. XVII-XVIII","variante com determinante ""de"" colado à sigla"
"Piz","Pires","apelidos","apelido","registos paroquiais séc. XVII-XVIII","patronímico de Pero/Pedro"
"Seq.ra / Siq.ra","Sequeira","apelidos","apelido","registos paroquiais séc. XVII-XVIII","variantes gráficas de Sequeira"
"V.ra / Vr.a / Vr.ª","Vieira","apelidos","apelido","registos paroquiais séc. XVII-XVIII","variantes de Vieira"
"V.e / V.te","Vicente","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","abreviação de Vicente"
"F.ro","Fevereiro","meses/datas","mês (data)","registos paroquiais séc. XVII-XVIII","abreviação de Fevereiro em datas"
"m.to","muito","termos administrativos","qualificativo / advérbio","registos paroquiais e notariais séc. XVII-XVIII","abreviação frequente em formulários paroquiais"
"tend.ro","Tendeiro","termos administrativos","profissão","registos paroquiais séc. XVII-XVIII","o que tem tenda e vende nela (Dict. 1789)"
"huü / nhuü","um / nenhum","termos administrativos","numeral / pronome (arcaico)","documentos notariais e paroquiais séc. XVII","forma arcaica de grafia; desaparece no séc. XVIII"
"Postiço / Postiça","exposto / enjeitado","estado civil/filiação","condição da criança","livros de expostos paroquiais séc. XVII-XVIII","criança abandonada ou adoptada"
"Amenta / Ementa","reza por defunto / pagamento ao pároco","termos religiosos","acto religioso / acto financeiro","registos de óbito séc. XVII-XVIII","ex: 'amenta annual e carneiro 1600r' em livros de óbito"
"Beneficiado","Padre que goza de Benefício","tratamentos/títulos","título eclesiástico","registos de casamento e óbito séc. XVII-XVIII","tença instituída por benfeitor; distingue-se de simples pároco"
"Banhos","publicação de editais de casamento (proclamas)","termos religiosos","acto canónico","registos de casamento séc. XVII-XVIII","publicação pública do noivado; dispensa exigia autorização do Provisor"
"in facie ecclesiae","publicamente na face da Igreja","termos religiosos","fórmula latina de casamento","registos de casamento séc. XVII-XVIII","indica casamento público e válido canonicamente; fórmula tridentina"
"tempore prohibito","em tempo proibido para casamentos","termos religiosos","restrição canónica","registos de casamento séc. XVII-XVIII","Quaresma e Advento; exigia dispensa do Provisor ou Vigário Geral"
"cum facultate superioris / cum fac. sup.","com licença do superior eclesiástico","termos religiosos","autorização canónica","registos de casamento séc. XVII-XVIII","frequente combinado com 'tempore prohibito'"
"sub conditione / sub cond.","baptismo sob condição","termos religiosos","acto sacramental","registos de baptismo séc. XVII-XVIII","aplicado a crianças expostas ou com dúvida sobre baptismo anterior"
"Almocreve","transportador com bestas de carga","termos administrativos","profissão","registos paroquiais séc. XVII-XVIII","o que anda com bestas de carga e transporte (Dict. 1848)"
"Sangrador","barbeiro-sangrador","termos administrativos","profissão","registos paroquiais séc. XVII-XVIII","o que sangra por ofício (Dict. 1789)"
"Meirinho","oficial de justiça","termos administrativos","profissão / cargo","registos paroquiais séc. XVII-XVIII","executa prisões, penhoras e mandatos judiciais"
"Feitor","administrador / rendeiro / caseiro","termos administrativos","profissão","registos paroquiais e notariais séc. XVII-XVIII","administrador de fazenda alheia (Dict. 1848)"
"Cordoeiro","fabricante de cordas","termos administrativos","profissão","registos paroquiais séc. XVII-XVIII","o que faz cordas (Dict. 1848)"
"Cerieiro","negociante ou trabalhador em cera","termos administrativos","profissão","registos paroquiais séc. XVII-XVIII","persona que trabalha ou negoceia em cera"
"Estanqueiro","vendedor de tabaco / monopolista","termos administrativos","profissão","registos paroquiais séc. XVII-XVIII","tem loja de tabaco ou estanco de mercadoria (Dict. 1848)"
"f.al / ofecial / ofecial. / oficial / oficial.","oficial","parentesco","Trabalhador do fogo — apenas para homens; para mulheres interpretar como f.ª (filha)","rol de confessados séc. XVIII","homem: parentesco=oficial; mulher: parentesco=filha (leitura errada de f.ª)"
"sp. / sep.","separada","observações","estado de separação conjugal","rol de confessados séc. XVIII","vai para a coluna Observações; EstadoCivil mantém-se casado/a"
"inmino. / in mino. / in min.","in minoribus","termos religiosos","estado clerical — recebeu ordens menores mas não foi ordenado sacerdote","rol de confessados séc. XVIII","vai para a coluna Observações como ""in minoribus"""
"Lopez / Lop.","Lopes","apelidos","apelido português comum","""Manoel Lopez""","grafia arcaica de Lopes; o L cursivo pode ser lido erroneamente como C (''Copey'')"
"cund. / cunh. / cund.ª / cunh.ª","cunhado / cunhada","parentesco","grau de parentesco por afinidade","""Roza M.ª cund.ª""","vai para o campo Observações quando a pessoa é cabeça de sub-fogo (//)"
"Thomaz / Thom.z / Thomay","Tomás","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","terminações -az / -z / -ay indicam Tomás (o y cursivo é variante de z); NÃO confundir com Thomé (terminação -é / -e)"
"Thomé / Thome","Tomé","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","a terminação -é / -e indica Tomé; distinto de Thomaz = Tomás"
"de Leyva / Leyva / deLeyv.a","de Leiva","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido de origem castelhana; grafia Leyva → actualizar para Leiva"
"M.do / Mach.do / N.do / M.dº / Mdo","Machado","apelidos","apelido","registos paroquiais séc. XVII-XVIII","abreviação de Machado; terminação -do com traço abreviativo; o M cursivo pode ser lido como N (confusão paleográfica comum)"
"Px.to / Px.ª / Pix.to","Peixoto","apelidos","apelido","registos paroquiais séc. XVII-XVIII","abreviação de Peixoto; Px = Pe+ix contraído; terminação -to; Px.ª = forma feminina"
"Preira","Pereira","apelidos","apelido","Tomé Pereira","grafia cursiva sem o primeiro 'e' (Preira) → expandir para Pereira; evita confusão com Peixoto"
"do Ó / d'Ó","do Ó","apelidos","apelido de devoção mariana","registos paroquiais séc. XVII-XVIII","apelido raro derivado de Nossa Senhora do Ó; após nome próprio (ex: D. Maria do Ó)"
"Escrava / Escravo / Escrav.","escrava / escravo","termos administrativos","status social (cativo)","registos paroquiais séc. XVII-XVIII","vai para Observações; parentesco mantém-se criada/criado; E cursivo pode parecer C tornando Escrava em Cicrava"
"Escudr.o / Escudr.º / Ecudr.º / Escudro","Escudeiro","termos administrativos","título de criado nobre","registos paroquiais séc. XVII-XVIII","vai para Observações; parentesco mantém-se criado; título nobiliárquico de servidor"
"de Eça / d'Eça / D'Eça / deEça","de Eça","apelidos","apelido nobre","registos paroquiais séc. XVII-XVIII","apelido por extenso; E cursivo pode parecer B tornando 'Eça' em 'Beca' (B←→E confusão); se leres 'de Beca' ou 'dBeca' após D./D.ª reconsidera 'de Eça'"
"da Luz / daLuz / d'Luz","da Luz","apelidos","apelido de devoção mariana","registos paroquiais séc. XVII-XVIII","apelido; NUNCA confundir com nome próprio Luísa/Luís — 'daLuz' ou 'd.Luz' após nome próprio é SEMPRE o apelido 'da Luz' (ex: 'Maria daLuz' → nome_expandido='Maria da Luz')"
"Montr. / Montr.o / Mont.ro","Monteiro","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente; forma abreviada de Monteiro"
"deSacramento / de Sacram. / deSacramt.o","de Sacramento","apelidos","apelido de devoção religiosa","registos paroquiais séc. XVII-XVIII","apelido; NUNCA confundir com nome próprio Sacramento — 'deSacramento' ou 'de Sacram.' após nome próprio é SEMPRE o apelido 'de Sacramento' (ex: 'Maria deSacramento' → nome_expandido='Maria de Sacramento')"
"dos Santos / dosSantos","dos Santos","apelidos","apelido de devoção religiosa","registos paroquiais séc. XVII-XVIII","apelido; NUNCA confundir com nome próprio Santos — 'dosSantos' ou 'dos Santos' após nome próprio é SEMPRE o apelido 'dos Santos' (ex: 'João dosSantos' → nome_expandido='João dos Santos')"
"oBn.do","o Beneficiado","o Beneficiado","tratamentos/títulos","título eclesiástico","registos de casamento e óbito séc. XVII-XVIII","variante de Beneficiado; oB = o Ben+e+ficiado contraído"
"Nogr.a / Nogr.o","Nogueira","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente"
"daConc.am","da Conceição","apelidos","apelido de devoção mariana","registos paroquiais séc. XVII-XVIII","apelido; NUNCA confundir com nome próprio Conceição — 'daConc.am' ou 'da Conc.am' após nome próprio é SEMPRE o apelido 'da Conceição' (ex: 'Maria daConc.am' → nome_expandido='Maria da Conceição')"
"Salg.do","Salgado","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente"
"deCarv.o / deCarv.º","de Carvalho","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido; NUNCA confundir com nome próprio Carvalho — 'deCarv.o' ou 'deCarv.º' após nome próprio é SEMPRE o apelido 'de Carvalho' (ex: 'João deCarv.o' → nome_expandido='João de Carvalho')"
"Carvalh.o / Carvalh.º / Carv.o / Carv.º","Carvalho","apelidos","apelido","registos paroquiais séc. XVII-XVIII","forma alternativa de abreviar 'de Carvalho'; NUNCA confundir com nome próprio Carvalho — 'Carvalh.o' ou 'Carvalh.º' após nome próprio é SEMPRE o apelido 'Carvalho' (ex: 'João Carvalh.o' → nome_expandido='João Carvalho')"
"deS.Bento","de São Bento","apelidos","apelido de devoção religiosa","registos paroquiais séc. XVII-XVIII","apelido; NUNCA confundir com nome próprio Bento — 'deS.Bento' ou 'de S.Bento' após nome próprio é SEMPRE o apelido 'de São Bento' (ex: 'Maria deS.Bento' → nome_expandido='Maria de São Bento')"
"deS.Paio/ deS.Pajo","de São Paio","apelidos","apelido de devoção religiosa","registos paroquiais séc. XVII-XVIII","apelido; NUNCA confundir com nome próprio Paio — 'deS.Paio' ou 'de S.Paio' após nome próprio é SEMPRE o apelido 'de São Paio' (ex: 'João deS.Paio' → nome_expandido='João de São Paio')"
"de S. do Carmo / deS.doCarmo","de Senhora do Carmo","apelidos","apelido de devoção mariana","registos paroquiais séc. XVII-XVIII","neste contexto S. = Senhora (not São); expandir para 'de Senhora do Carmo'"
"Teix.a / Teixr.a / Teixr.ª","Teixeira","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente"
"Guim.es / Guim.ª / Guim.s","Guimarães","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente"
"Bapt.a / Bapt.ª","Baptista","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente"
"Huberta","Noberta","abreviaturas de nomes próprios","atualização ortográfica","Fran.ca Nuberta","No manuscrito está escrito Nuberta que hoje em dia passa a Noberta"
"Nuberta","Noberta","abreviaturas de nomes próprios","atualização ortográfica","Fran.ca Nuberta","No manuscrito está escrito Nuberta que hoje em dia passa a Noberta"
"Cabelleireiro / Cabeleireiro","cabeleireiro","observações","profissão","Antonio Iozé Cabelleireiro","vai para observações como ""cabeleireiro"""
"ofeçial / ofecial / oficial","oficial","parentesco","profissão / condição","Constantino Jozé ofeçial","vai para Parentesco como ""oficial"""
"Nascimento / Nascim.to / Nascimt.o / Nascim.","nascimento","estado civil/filiação","evento de nascimento","registos paroquiais séc. XVII-XVIII","vai para Observações como ""nascimento""; não confundir com nome próprio Nascimento"
"Carnr.o / Carnro / Caxnr.o / Caxnro / Caxnr.","Carneiro","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente"
"Qr.s / Qr.z /Qr.oz","Queirós","apelidos","apelido","registos paroquiais séc. XVII-XVIII","variante de Queirós; o r cursivo pode ser lido como z (confusão paleográfica comum)"
"Maximo","Marinho","apelidos","apelido","João Maximo / João Marinho","Erro frequente de leitura onde 'Marinho' cursivo é lido como 'Maximo'; corrigir para Marinho"
